formatted_address,name,rating,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,big_list_name,adelaide?,south_australia?,sa?,australia?
"8/99 Gawler Pl, Adelaide SA 5000, Australia",Frazer-Nash Consultancy Ltd,4.0,-34.9249396,138.6018639,-34.92361032010728,138.6033000798927,-34.92630997989272,138.6006004201073,,frazer nash,16,-1,25,34
"12820 Clarke Pl Unite 150, Richmond, BC V6V 2H1, Canada",AML-studio,3.0,49.185296,-123.0833819,49.18667242989272,-123.0819284201072,49.18397277010728,-123.0846280798927,,aml d,-1,-1,-1,-1
"82/84 Dickson Ave, Artarmon NSW 2064, Australia",Environmental Earth Sciences,5.0,-33.8170062,151.1827232,-33.81551897010728,151.1839727798927,-33.81821862989272,151.1812731201073,True,environmental science organisa tion eesi group aml d,-1,-1,-1,38
"1 Matson Ct, Gillman SA 5013, Australia",Stärke-AMG Alliance,5.0,-34.8421248,138.5298082,-34.84056732010728,138.5309594298927,-34.84326697989273,138.5282597701073,True,st rke advanced manufacturing group,-1,-1,21,30
"1 Matson Ct, Gillman SA 5013, Australia",Stärke-AMG Alliance,5.0,-34.8421248,138.5298082,-34.84056732010728,138.5309594298927,-34.84326697989273,138.5282597701073,True,st rke amg,-1,-1,21,30
"672 Greenwood St, Junction City, OR 97448, United States",Junction City Police Department,2.1,44.2198175,-123.2024101,44.22116682989272,-123.2010831201073,44.21846717010727,-123.2037827798927,True,directorate junction,-1,-1,-1,-1
"12718 Northup Way, Bellevue, WA 98005, United States",Vetco Electronics,4.6,47.6286299,-122.1705527,47.62997932989272,-122.1691686201073,47.62727967010727,-122.1718682798927,False,flux robotics,-1,-1,-1,-1
"101 Bulldog Dr, Plumerville, AR 72127, United States",Virtual Arkansas Virtual Arkansas,0.0,35.1600734,-92.6508128,35.16142977989271,-92.64946347010728,35.15873012010727,-92.65216312989273,False,virtual ark,-1,-1,-1,-1
"unit 2/65 Nelson St, Stepney SA 5069, Australia",Suntrix,4.8,-34.91201420000001,138.6299522,-34.91056432010728,138.6312619798927,-34.91326397989272,138.6285623201073,True,suntrix,-1,-1,29,38
"500 W 5th St, Austin, TX 78701, United States",Fixe Southern House,4.6,30.2688868,-97.748598,30.27019097989272,-97.74730382010728,30.26749132010728,-97.75000347989273,True,fixe,-1,-1,-1,-1
"3250 Central Expy, Santa Clara, CA 95051, United States",Airmid Integrated Therapies & Bodywork,0.0,37.3766192,-121.9862295,37.37817832989272,-121.9847869701073,37.37547867010728,-121.9874866298927,,airmid,-1,-1,19,-1
"Balco Road, Bowmans SA 5550, Australia",Bowmans Rail Pty Ltd,5.0,-34.1665763,138.2738401,-34.16500102010728,138.2752012798927,-34.16770067989272,138.2725016201073,True,bowmans rail,-1,-1,20,29
"605 W California Ave, Sunnyvale, CA 94086, United States",Blue River Technology,4.8,37.3832702,-122.035962,37.38453152989273,-122.0346400201073,37.38183187010728,-122.0373396798927,True,blue farm intelligence,-1,-1,-1,-1
"981 Light Pass Rd, Vine Vale SA 5352, Australia",Maverick Wines,4.5,-34.5189248,139.0031721,-34.51752612010728,139.0043545798927,-34.52022577989273,139.0016549201073,,gumpara wines,-1,-1,29,38
"180 Maiden Ln, New York, NY 10038, United States",New York Liquidation Bureau,0.0,40.7052599,-74.0055148,40.70674877989271,-74.00398807010728,40.70404912010727,-74.00668772989273,,nylb sustainable,-1,-1,-1,-1
"180 Maiden Ln, New York, NY 10038, United States",New York Liquidation Bureau,0.0,40.7052599,-74.0055148,40.70674877989271,-74.00398807010728,40.70404912010727,-74.00668772989273,,nylb,-1,-1,-1,-1
"187 Templers Rd, Freeling SA 5372, Australia",EzyBale,5.0,-34.4593496,138.7891996,-34.45807417010728,138.7905070298927,-34.46077382989272,138.7878073701073,,ezy bale,-1,-1,26,35
"946 Rosedale Rd, Gomersal SA 5352, Australia",Pindarie,4.7,-34.5261099,138.8724014,-34.52475622010728,138.8737390298927,-34.52745587989272,138.8710393701073,False,pindarie winery,-1,-1,22,35
"61 Dolphins Rd, Musk VIC 3461, Australia",Oberon Suffolk Stud,0.0,-37.38324,144.201216,-37.38189597010728,144.2025876298927,-37.38459562989272,144.1998879701072,,suffolk stud,-1,-1,-1,31
"8 Belmont St, Clapham SA 5062, Australia",G.n.l.j. Pty Ltd,0.0,-34.9784774,138.6038539,-34.97712392010727,138.6052712298927,-34.97982357989272,138.6025715701073,,belmont springton,-1,-1,22,31
"1402 3rd Ave, Seattle, WA 98101, United States",Fix Democracy First,0.0,47.609192,-122.3365732,47.61040857989273,-122.3352290701072,47.60770892010729,-122.3379287298927,,fdf,-1,-1,-1,-1
"15 Nickerson St, Seattle, WA 98109, United States",REVIVE FIT LLC,0.0,47.6493022,-122.3569684,47.65064227989272,-122.3555427201073,47.64794262010728,-122.3582423798927,,nm,-1,-1,-1,-1
"410 E Baltimore St, Baltimore, MD 21202, United States",Crazy John's,4.1,39.2898884,-76.6097502,39.29116777989272,-76.60840927010727,39.28846812010728,-76.61110892989271,True,crazy john s,-1,-1,-1,-1
"516 N Graham St, Charlotte, NC 28202, United States",Freshwaters,4.4,35.2340487,-80.8418447,35.23539982989272,-80.84061067010728,35.23270017010728,-80.84331032989272,True,soul freshwater s,-1,-1,-1,-1
"1 Park Ln S, Jersey City, NJ 07310, United States",Water's Soul by Jaume Plensa,4.4,40.730824,-74.0282319,40.73223242989272,-74.02748637010727,40.72953277010728,-74.0301860298927,False,soul freshwater s,-1,-1,-1,-1
"534 NE Northgate Way, Seattle, WA 98125, United States",F45 Training Northgate,5.0,47.7088623,-122.3217891,47.71014067989272,-122.3204393201073,47.70744102010728,-122.3231389798927,True,f gym co,-1,-1,-1,-1
"1/138 Racecourse Rd, Ascot QLD 4007, Australia",Ray White Ascot,4.5,-27.4321738,153.0652726,-27.43092042010727,153.0666666798927,-27.43362007989272,153.0639670201073,True,ray white ascot,-1,-1,-1,37
"1200 12th Ave S Suite 830, Seattle, WA 98144, United States",Equity in Education Coalition,0.0,47.5928139,-122.315952,47.59405277989271,-122.3146203201073,47.59135312010727,-122.3173199798927,True,equity co,-1,-1,-1,-1
"Level 18/1 Nicholson St, East Melbourne VIC 3002, Australia",Montu,4.3,-37.809,144.97344,-37.80775997010727,144.9747317298927,-37.81045962989271,144.9720320701073,True,montu,-1,-1,-1,50
"288 Mine Rd, Kanmantoo SA 5252, Australia",Neutrog Australia Pty Ltd,4.5,-35.0948546,139.0123841,-35.09341592010728,139.0139936298928,-35.09611557989272,139.0112939701073,True,neutrog,-1,-1,23,32
"The Commons, 388 George St, Sydney NSW 2000, Australia",Hero Packaging,5.0,-33.8683127,151.2073728,-33.86714947010728,151.2085207298927,-33.86984912989272,151.2058210701072,True,hero packaging,-1,-1,-1,45
"124, Davison Building, Durham, NC 27710, United States",Duke University Medical School,5.0,36.0054244,-78.9381561,36.00677062989272,-78.93692257010727,36.00407097010727,-78.93962222989272,False,duke medical school,-1,-1,-1,-1
"Cl. 14 #18 - 20, Cereté, Córdoba, Colombia",FERRONOVA,4.3,8.8880986,-75.79406519999999,8.88937942989272,-75.79272102010728,8.886679770107277,-75.79542067989271,False,ferronova,-1,-1,-1,-1
"ground floor 2/14 Vine St, Redfern NSW 2016, Australia",Groundswell,0.0,-33.8895691,151.1993117,-33.88829747010728,151.2006114298927,-33.89099712989272,151.1979117701073,True,groundswell,-1,-1,-1,45
"Bracewell QLD 4695, Australia",Bracewell,,-23.8827912,150.8930845,-23.8535886,151.0087808,-23.9875544,150.8486341,,bracewell,-1,-1,-1,20
"2960 4th Ave S Suite 114, Seattle, WA 98134, United States",Elsom Cellars,4.9,47.5759272,-122.3281205,47.57732447989273,-122.3267971201073,47.57462482010728,-122.3294967798927,False,elsom,-1,-1,-1,-1
