tech,link,title,date_,publisher_,source_type_,business_index_term
satellite technology,https://www.proquest.com/anznews/docview/2184202518/6F564745A9754A21PQ/60?accountid=14649,Cheaper satellites unlock space,"Feb 22, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2230849768/6F564745A9754A21PQ/61?accountid=14649,Defence tips $1.3bn into science-technology ‘arms’ race,"May 29, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2644792529/6F564745A9754A21PQ/62?accountid=14649,We're using lasers and toaster-sized satellites to beam information faster through space,"Dec 6, 2019",Athena Information Solutions Pvt. Ltd.,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2176351851/6F564745A9754A21PQ/63?accountid=14649,Myriota partners with Davey,"Feb 7, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2201796981/6F564745A9754A21PQ/64?accountid=14649,SA’s big slice of pie in the sky,"Apr 3, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2331881379/6F564745A9754A21PQ/65?accountid=14649,Have your say,"Jan 3, 2020",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2429332850/6F564745A9754A21PQ/66?accountid=14649,READY FOR BLAST-OFF,"Aug 1, 2020",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2258961588/6F564745A9754A21PQ/67?accountid=14649,Precision agriculture adoption on the up,"Jul 18, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2269103840/6F564745A9754A21PQ/68?accountid=14649,Ag tech to help grow industry,"Aug 8, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2227217068/6F564745A9754A21PQ/69?accountid=14649,Global water resources get cloud-based approach,"May 20, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2316051703/6F564745A9754A21PQ/70?accountid=14649,Digital livestock trial shows early promise,"Nov 21, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2292145172/6F564745A9754A21PQ/71?accountid=14649,Defence Minister tells states to cool it,"Sep 19, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2292156319/6F564745A9754A21PQ/72?accountid=14649,Defence Minister tells states to cool it,"Sep 19, 2019",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2344249326/6F564745A9754A21PQ/73?accountid=14649,SA tech company’s shoebox spy in sky,"Jan 25, 2020",Nationwide News Pty Ltd,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2283498304/6F564745A9754A21PQ/74?accountid=14649,New internet imminent,"Sep 4, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2283499346/6F564745A9754A21PQ/75?accountid=14649,New fixed wireless internet service being rolled out in Kaniva,"Sep 4, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2283498276/6F564745A9754A21PQ/76?accountid=14649,New fixed wireless internet service being rolled out in Kaniva,"Sep 4, 2019",Fairfax Media Publications Pty Limited,Newspaper,
satellite technology,https://www.proquest.com/anznews/docview/2715378949/6F564745A9754A21PQ/77?accountid=14649,"Tiny solar backpacks helping save endangered birds from extinction: Griffin, Close, D’Ambrosio","Sep 19, 2022",,Wire Feed,
satellite technology,https://www.proquest.com/anznews/docview/2499244381/6F564745A9754A21PQ/78?accountid=14649,Rocket launch facility gets SA approval,"Mar 10, 2021",Australian Associated Press Pty Limited,Wire Feed,
satellite technology,https://www.proquest.com/anznews/docview/2499544940/6F564745A9754A21PQ/79?accountid=14649,Rocket launch site gets landowner approval,"Mar 11, 2021",Australian Associated Press Pty Limited,Wire Feed,
satellite technology,https://www.proquest.com/anznews/docview/2505426695/6F564745A9754A21PQ/80?accountid=14649,All systems go for Aussie space mission,"Mar 27, 2021",Australian Associated Press Pty Limited,Wire Feed,
satellite technology,https://www.proquest.com/anznews/docview/2505416525/6F564745A9754A21PQ/81?accountid=14649,All systems go for Aussie space mission,"Mar 24, 2021",Australian Associated Press Pty Limited,Wire Feed,
satellite technology,https://www.proquest.com/anznews/docview/2621668904/6F564745A9754A21PQ/82?accountid=14649,Learning aid bound for Tongan children,"Jan 21, 2022",Australian Associated Press Pty Limited,Wire Feed,
