formatted_address,name,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,rating,opening_hours.open_now,adelaide?,south_australia?,australia?,sa?,big_list_name
"Cnr Crawford &, Antill St, Queanbeyan NSW 2620, Australia",woolworths,-35.34959180000001,149.2331795,-35.34835442010728,149.2346236298927,-35.35105407989273,149.2319239701072,3.8,True,-1,-1,48,-1,woolworths
"502/41 McLaren St, North Sydney NSW 2060, Australia",withyouwithme,-33.8353625,151.2086193,-33.83382647010728,151.2100127798927,-33.83652612989272,151.2073131201072,4.7,True,-1,-1,42,-1,withyouwithme
"41 McLaren St, North Sydney NSW 2060, Australia",wywm pty ltd,-33.83546,151.2086911,-33.83388202010728,151.2100906798927,-33.83658167989272,151.2073910201073,0.0,,-1,-1,38,-1,mcl pty ltd
"15 Broadway, Ultimo NSW 2007, Australia",university of technology sydney,-33.8832376,151.2004942,-33.88136545,151.20410325,-33.88521124999999,151.19633385,4.3,True,-1,-1,30,-1,university of technology sydney
"13208 NE 20th St #150, Bellevue, WA 98005, United States",western pacific building materials - bellevue,47.6284216,-122.1636902,47.62972162989272,-122.1623067201073,47.62702197010728,-122.1650063798927,2.3,True,-1,-1,-1,-1,australia pacific lng joint venture
"501 15th Ave E, Seattle, WA 98112, United States",uncle ike's capitol hill,47.6232708,-122.3129069,47.62460667989272,-122.3114277201073,47.62190702010728,-122.3141273798927,4.1,True,-1,-1,-1,-1,tetris capital
"10301 116th Ave NE, Kirkland, WA 98033, United States",bright futures preschool,47.6910447,-122.1867699,47.69239557989272,-122.1852753701073,47.68969592010728,-122.1879750298928,4.0,True,-1,-1,-1,-1,the friends school
"13 Old Heidelberg Rd, Alphington VIC 3078, Australia",talkiplay,-37.7798528,145.0359449,-37.77861497010728,145.0373064798927,-37.78131462989272,145.0346068201073,5.0,True,-1,-1,43,-1,talkiplay
"3225 California Ave SW, Seattle, WA 981163304, United States",courtney zeller,47.57479670000001,-122.3869949,47.57614692989272,-122.3856019201073,47.57344727010727,-122.3883015798927,0.0,,-1,-1,-1,-1,zeller
"2107 NE Broadway, Portland, OR 97232, United States",zeller chapel of the roses funeral home,45.5353259,-122.6444731,45.53669367989272,-122.6431238201073,45.53399402010728,-122.6458234798927,5.0,True,-1,-1,-1,-1,little heroes foundation
