tech,link,title,date_,publisher_,source_type_,business_index_term
artificial intelligence,https://www.proquest.com/anznews/docview/2668538474/38C549A391024716PQ/59?accountid=14649,Light show closes road,"May 25, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2668535331/38C549A391024716PQ/60?accountid=14649,Light show closes road,"May 25, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2525917070/38C549A391024716PQ/61?accountid=14649,MTX pledges 2500 jobs for Australia,"May 12, 2021",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2672823750/38C549A391024716PQ/62?accountid=14649,Adam's FAMILY TREE,"Jun 4, 2022",Nationwide News Pty Ltd,Newspaper,['Careers']
artificial intelligence,https://www.proquest.com/anznews/docview/2672824465/38C549A391024716PQ/63?accountid=14649,error 404 :),error 404 :),error 404 :),error 404 :),error 404 :)
artificial intelligence,https://www.proquest.com/anznews/docview/2672823751/38C549A391024716PQ/64?accountid=14649,Adam's FAMILY TREE,"Jun 4, 2022",Nationwide News Pty Ltd,Newspaper,['Careers']
artificial intelligence,https://www.proquest.com/anznews/docview/2724374021/38C549A391024716PQ/65?accountid=14649,Defence giant adds city office,"Oct 14, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2724371343/38C549A391024716PQ/66?accountid=14649,Defence giant adds city office,"Oct 14, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2729680501/38C549A391024716PQ/67?accountid=14649,A.I. TO HUNT OUT SKIN CANCERS,"Oct 29, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2672824515/38C549A391024716PQ/68?accountid=14649,Goodes reconnects with family roots,"Jun 4, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2670718706/38C549A391024716PQ/69?accountid=14649,Rents rise in our regions,"May 29, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2645823462/38C549A391024716PQ/70?accountid=14649,Machine learning is ‘the electricity of our future’,"Mar 31, 2022",Nationwide News Pty Ltd,Newspaper,['Machine learning']
artificial intelligence,https://www.proquest.com/anznews/docview/2699547089/38C549A391024716PQ/71?accountid=14649,Have your say,"Aug 8, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2701301693/38C549A391024716PQ/72?accountid=14649,Hi-tech ‘weapon’ boosts national security,"Aug 13, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2701301479/38C549A391024716PQ/73?accountid=14649,Hi-tech defence boost to national security,"Aug 13, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2701301468/38C549A391024716PQ/74?accountid=14649,Tech out to boost security,"Aug 13, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2701303649/38C549A391024716PQ/75?accountid=14649,Tech out to boost security,"Aug 13, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2701301733/38C549A391024716PQ/76?accountid=14649,Tech out to boost security,"Aug 13, 2022",Nationwide News Pty Ltd,Newspaper,
artificial intelligence,https://www.proquest.com/anznews/docview/2701975614/38C549A391024716PQ/77?accountid=14649,Tech out to boost security,"Aug 13, 2022",Nationwide News Pty Ltd,Newspaper,
