LGA_Name,Beach_FID,Beach_Name,Width_B,Length_B,Patrolled_B,Width_S,Length_S,Patrolled_S,Close_S
Port Macquarie-Hastings,204,Miners South,50,600,No,50,600,No,No
Port Macquarie-Hastings,205,Tacking Point North / Little Bay,40,100,No,40,100,No,No
Port Macquarie-Hastings,206,Tacking Point - Lighthouse,160,680,Yes,160,680,Yes,No
Port Macquarie-Hastings,207,Lighthouse ,100,10200,Yes,100,10200,Yes,No
Port Macquarie-Hastings,208,Lake Cathie,40,1900,Yes,40,1900,Yes,No
Port Macquarie-Hastings,209,Middle Rock ,40,100,No,40,100,No,No
Port Macquarie-Hastings,210,Rainbow / Bonny Hills,70,2500,Yes,70,2500,Yes,No
Port Macquarie-Hastings,211,Boat Ramp,30,200,No,30,200,No,No
Port Macquarie-Hastings,212,Bartletts - Sponys Bay,50,300,No,50,300,No,No
Port Macquarie-Hastings,213,Shark,160,400,No,160,400,No,No
Port Macquarie-Hastings,214,North Haven / Grants ,100,3000,Yes,100,3000,Yes,No
Port Macquarie-Hastings,215,Pilot ,110,250,No,110,250,No,No
Port Macquarie-Hastings,216,Wash House,60,800,No,60,800,No,No
Port Macquarie-Hastings,217,Pebbly  (Port Macquarie-Hastings),30,50,No,30,50,No,No
Port Macquarie-Hastings,218,Dunbogan ,120,9350,No,120,9350,No,No
Mid-Coast,219,Kylie ,100,400,No,100,400,No,No
Mid-Coast,220,Crowdy Head ,100,14800,Yes,100,14800,Yes,No
Mid-Coast,221,Harrington ,90,5600,No,90,5600,No,No
Mid-Coast,222,Manning Point ,100,10000,No,100,10000,No,No
Mid-Coast,223,Old Bar,120,6000,Yes,120,6000,Yes,No
Mid-Coast,224,Saltwater / Wallabi,60,1000,No,60,1000,No,No
Mid-Coast,225,Saltwater / Badges,70,2000,No,70,2000,No,No
Mid-Coast,226,"Diamond (Back Saltwater, Back)",90,3000,Yes,90,3000,Yes,No
Mid-Coast,227,Diamond South ,30,150,No,30,150,No,No
Mid-Coast,228,Shelly,40,400,No,40,400,No,No
Mid-Coast,229,Black Head ,70,1580,Yes,70,1580,Yes,No
Mid-Coast,230,Pebbly,35,200,No,35,200,No,No
Mid-Coast,231,Diamond Reef ,150,300,No,150,300,No,No
Mid-Coast,232,Nine Mile ,30,11700,No,30,11700,No,No
Mid-Coast,233,Tuncurry ,90,5700,No,90,5700,No,No
Mid-Coast,234,Tuncurry Rock Pool,30,80,No,30,80,No,No
Mid-Coast,235,Forster Main ,120,500,Yes,120,500,Yes,No
Mid-Coast,236,Pebbly,70,250,No,70,250,No,No
Mid-Coast,237,One Mile ,110,1300,Yes,110,1300,Yes,No
Mid-Coast,238,Burgess ,30,300,No,30,300,No,No
Mid-Coast,239,McBrides ,80,200,No,80,200,No,No
Mid-Coast,240,Cape Hawke North ,20,30,No,20,30,No,No
Mid-Coast,241,Cape Hawke South ,30,50,No,30,50,No,No
Mid-Coast,242,Janies Corner,80,200,No,80,200,No,No
Mid-Coast,243,Seven Mile ,120,9700,No,120,9700,No,No
Mid-Coast,244,Lindeman Cove,30,100,No,30,100,No,No
Mid-Coast,245,Shelly,50,300,No,50,300,No,No
Mid-Coast,246,Elizabeth ,110,600,Yes,110,600,Yes,No
Mid-Coast,247,Boomerang ,120,1450,Yes,120,1450,Yes,No
Mid-Coast,248,Blueys ,130,975,No,130,975,No,No
Mid-Coast,249,Sandbar / Cellito ,80,2800,No,80,2800,No,No
Mid-Coast,250,Number Six ,100,175,No,100,175,No,No
Mid-Coast,251,Number Five ,110,275,No,110,275,No,No
Mid-Coast,252,Number Four ,80,125,No,80,125,No,No
Mid-Coast,253,Number Three ,60,125,No,60,125,No,No
Mid-Coast,254,Number Two ,50,275,No,50,275,No,No
Mid-Coast,255,Number One ,100,1350,No,100,1350,No,No
Mid-Coast,256,Boat ,90,550,No,90,550,No,No
Mid-Coast,257,Lighthouse ,110,1950,No,110,1950,No,No
Mid-Coast,258,Treachery ,180,1850,No,180,1850,No,No
Mid-Coast,259,Submarine / Fiona / Yagon ,180,8800,No,180,8800,No,No
Mid-Coast,260,Mungo ,120,16800,No,120,16800,No,No
Mid-Coast,261,Dark Point North ,160,1625,No,160,1625,No,No
Mid-Coast,262,"Bennetts  (Dark Point , White Sands, Lemon Tree, The Baskets,  Lovers Walk)",140,13300,No,140,13300,No,No
Mid-Coast,263,Hawks Nest,40,1000,Yes,40,1000,Yes,No
Mid-Coast,264,Winda Woppa,15,1400,No,15,1400,No,No
Port Stephens,265,Jimmys,20,500,No,20,500,No,No
Port Stephens,266,Soldiers Point,11,630,No,11,630,No,No
Port Stephens,267,Soldiers Point (S),11,300,No,11,300,No,No
Port Stephens,268,Little/ Little Nelson Bay,14,300,No,14,300,No,No
Port Stephens,269,Wanda,10,1600,No,10,1600,No,No
Port Stephens,270,Nelson Bay,10,550,No,10,550,No,No
Port Stephens,271,Shoal Bay,25,2500,No,25,2500,No,No
Port Stephens,272,Corlette,8,300,No,8,300,No,No
Port Stephens,273,Nelson Bay Marina,6,250,No,6,250,No,No
Port Stephens,274,Zenith ,120,400,No,120,400,No,No
Port Stephens,275,Dutchmans,7,400,No,7,400,No,No
Port Stephens,276,Bagnalls,10,1000,No,10,1000,No,No
Port Stephens,277,Wreck North ,40,50,No,40,50,No,No
